who is the chancellor,about
what is the name of the college,about
when was the college found,about
chancellor of college,about
college name,about
who is the dean,about
dean name,about
What are offered here,Courses
List of courses,Courses
what can i study in your college,Courses
What are the courses offered,Courses
how much does it cost,Fee
What is the college fees,Fee
How much does this college cost,Fee
What are the expenses,Fee
How much money do i need to attend this college,Fee
Hello,Greet
Hi,Greet
How are you,Greet
How are you doing,Greet
Greetings,Greet
how do you do,Greet
What are your hours,Hours
when do you open,Hours
What time does the college open,Hours
When does your college open,Hours
Location of the college,Location
how do I get to the college,Location
where are you located,Location
Where is the college,Location
what companies come for placements,Placement
who all attend the hiring process,Placement
placements,Placement
which dream companies came for placement process,Placement
Placement prospects,Placement
